capital = 121

oob = "SCO_1962"

diplomatic_relation = {
	country = ULS
	relation = docking_rights
	active = yes

}


set_technology = {
	# shipbuild_basics = 1
	electronic_mechanical_engineering = 1
	ww2_line_production = 1
	batch_production_1 = 1
	concentrated_industry1 = 1
	basic_fire_control_system = 1
	resource_extraction_methods = 1
	excavation0 = 1
	decimetric_radar = 1
	centimetric_radar = 1
	advanced_light_tank = 1
	mechanised_infantry3 = 1
	tech_engineers_flamethrowers_1 = 1
	tech_mountaineers = 1
	transport = 1
	infantry_weapons_1 = 1
	infantry_weapons_2 = 1
	motorized_infantry = 1
	support_weapons = 1
	tech_engineers = 1
	tech_recon = 1
	early_fighter = 1
	fighter_1945 = 1
	CAS_1945 = 1
	interceptor_1945 = 1
	gw_artillery = 1
	artillery4 = 1
	artillery_1950 = 1
	antiair5 = 1
	basic_infantry_equipment = 1
	electronic_mechanical_engineering = 1
	radio = 1
	countrywide_improvements = 1
	construction1 = 1
	ww2_destroyer = 1
	ww2_cruiser = 1
	ww2_battleship = 1
	ww2_submarine = 1
	ww2_carrier = 1
	tech_engineers = 1
	tech_recon = 1
	constructionmethods = 1
    	construction0 = 1
	mechanical_computing = 1
	computing_machine = 1
	improved_computing_machine = 1
	advanced_computing_machine = 1
	basic_encryption = 1
	improved_encryption = 1
	basic_decryption = 1
	improved_decryption = 1
	radio_detection = 1
	tac_bomber1 = 1
	strategic_bomber1 = 1
	transport_air1 = 1
	infantry_weapons_improvements_1 = 1
	infantry_weapons_improvements_2 = 1
	infantry_at = 1
	infantry_at2 = 1
	tech_support = 1
	APC_1950 = 1
	advanced_medium_tank = 1
	MBT_1950 = 1
	IFV_1950 = 1
	cv_1945_fighter = 1
	cv_1945_CAS = 1
	fighter_1950 = 1
	cv_1950_fighter = 1
	jet_engines = 1
	CAS_1950 = 1
	cv_1950_CAS = 1
}

set_research_slots = 3
set_convoys = 100

set_stability = 0.60

add_ideas = {
	#Starting#
	#SCO_English_Refugees
	SCO_The_lonely_Ilse
	SCO_Itchy_Trigger
	SCO_Derry_Scapa_deal
}

set_politics = {	
	ruling_party = social_liberal
	last_election = "1961.11.14"
	elections_allowed = no 
}

set_popularities = {
    communist = 0
    ultranational_socialism = 0
    socialist = 0
    social_democrat = 35
    social_liberal = 55
    market_liberal = 0
    social_conservative = 10
    authoritarian_democrat = 0
    despotism = 0
    fascism = 0
    burgundian_system = 0
}

add_equipment_to_stockpile = {
	type = infantry_equipment_0
	amount = 1000
	producer = SCO
}

add_equipment_to_stockpile = {
	type = anti_tank_equipment_1
	amount = 500
	producer = SCO
}

add_equipment_to_stockpile = {
	type = motorized_equipment_1
	amount = 300
	producer = SCO
}

add_equipment_to_stockpile = {
	type = support_equipment_1
	amount = 400
	producer = SCO
}

add_equipment_to_stockpile = {
	type = artillery_equipment_1
	amount = 500
	producer = SCO
}


create_navy_leader = {
    name = "Edmund Walter Anstice"
    picture = "Sir_Edmund_Walter_Anstice.dds"
    traits = { air_controller }
    skill = 4
	id = 685
	attack_skill = 4
	defense_skill = 2
	maneuvering_skill = 3
	coordination_skill = 4
}

create_field_marshal = {
	name = "Douglas Wimberley"
	picture = "Douglas_Wimberly.dds"
	traits = {old_guard war_hero }

	skill = 3
	id = 675
	attack_skill = 2
	defense_skill = 3
	planning_skill = 2
	logistics_skill = 3
}

